elevator_id,ts_ms,ts,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
elevator-6,1770089555480,2026-02-03 11:32:35.480,0.9546075,0.196185,0.0368445,-0.305176,0.7324224,0.5493168,0,0,0,,,,26.93,0.4,0.8,0.1,0,0,0
elevator-6,1770089555982,2026-02-03 11:32:35.982,0.9574785,0.1937925,0.0358875,-0.4272464,0.7324224,0.6713872,0,0,0,,,,26.95,0.4,0.8,0.1,0,1,0
elevator-6,1770089556484,2026-02-03 11:32:36.484,0.9546075,0.197142,0.0368445,-0.305176,0.7324224,0.7934576,0,0,0,,,,26.94,0.5,0.7,0.2,4,6,1
elevator-6,1770089556986,2026-02-03 11:32:36.986,0.94743,0.185658,0.0244035,-0.2441408,0.7934576,0.4882816,0,0,0,,,,26.95,0.5,0.7,0.2,1,1,1
elevator-6,1770089557489,2026-02-03 11:32:37.489,0.93786,0.1842225,0.0148335,-0.4272464,0.6713872,0.6713872,0,0,0,,,,26.94,0.8,1.3,0.4,2,1,1
elevator-6,1770089557990,2026-02-03 11:32:37.990,0.934989,0.1784805,0.0138765,-0.2441408,0.610352,0.7324224,0,0,0,,,,26.94,0.8,1.3,0.4,1,2,1
elevator-6,1770089558492,2026-02-03 11:32:38.492,0.960828,0.195228,0.044022,-0.3662112,0.8544928,0.610352,0,0,0,,,,26.94,1.5,1.8,1.1,1,3,1
elevator-6,1770089558995,2026-02-03 11:32:38.995,0.9613065,0.199056,0.0358875,-0.305176,0.8544928,0.6713872,0,0,0,,,,26.95,1.5,1.8,1.1,1,1,1
elevator-6,1770089559497,2026-02-03 11:32:39.497,0.9584355,0.182787,0.0435435,0.0610352,0.7324224,0.6713872,0,0,0,,,,26.94,1.1,2.6,1.1,1,1,2
elevator-6,1770089559999,2026-02-03 11:32:39.999,0.9603495,0.1746525,0.0349305,-0.4882816,0.610352,0.5493168,0,0,0,,,,26.94,1.1,2.6,1.1,2,1,2
elevator-6,1770089560501,2026-02-03 11:32:40.501,0.9622635,0.214368,0.049764,-0.305176,0.7934576,0.7934576,0,0,0,,,,26.94,1.4,1.1,1.3,2,1,1
elevator-6,1770089561003,2026-02-03 11:32:41.003,0.934032,0.206712,0.0272745,-0.7324224,0.7324224,0.6713872,0,0,0,,,,26.95,1.4,1.1,1.3,1,1,1
elevator-6,1770089561505,2026-02-03 11:32:41.505,0.9708765,0.199056,0.044022,-0.6713872,0.6713872,0.6713872,0,0,0,,,,26.93,1,1.5,1.3,1,1,1
elevator-6,1770089562007,2026-02-03 11:32:42.007,0.9498225,0.186615,0.042108,-0.0610352,0.6713872,0.6713872,0,0,0,,,,26.94,1,1.5,1.3,1,1,0
elevator-6,1770089562509,2026-02-03 11:32:42.509,0.9546075,0.197142,0.043065,-0.0610352,0.7934576,0.8544928,0,0,0,,,,26.93,0.9,0.8,0.9,1,1,2
