sample_idx,ts_ms,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
0,1772699618538,1772699618535,3,1,0.2294921875,0.22412109375,-0.8515625,-165.4052734375,-210.51025390625,-41.1376953125,14,5,6,0.3021240234375,0.0823974609375,0.17578125,31.62,225,67,103,6,6,4
1,1772699624435,1772699624432,3,1,0.060546875,0.158203125,-1.0068359375,-1.28173828125,-5.06591796875,-31.25,3,6,3,0.1702880859375,0.0823974609375,0.10986328125,31.24,13,47,17,9,7,9
2,1772699625180,1772699625180,0,1,0.1376953125,-0.20166015625,-0.90966796875,-9.09423828125,-12.63427734375,46.7529296875,5,4,6,0.0164794921875,0.087890625,0.208740234375,31.24,53,32,48,8,7,11
3,1772699628189,1772699628188,1,1,-0.240234375,-0.11865234375,-1.0390625,-133.4228515625,329.77294921875,143.4326171875,4,2,5,0.4888916015625,1.087646484375,0.450439453125,31.43,30,25,86,6,10,6
4,1772699633579,1772699633575,4,1,0.59716796875,-0.34423828125,-0.56298828125,111.6943359375,-226.5625,-43.88427734375,6,6,4,0.054931640625,0.2142333984375,0.2362060546875,31.11,102,70,45,5,9,5
5,1772699635566,1772699635566,0,1,0.1494140625,-0.09375,-0.89111328125,-15.869140625,-22.4609375,8.85009765625,1,1,0,0.06591796875,0.1153564453125,0.087890625,31.49,33,29,10,11,9,6
6,1772699637982,1772699637978,4,1,0.052734375,-0.0771484375,-1.02734375,-25.390625,-3.96728515625,7.87353515625,6,1,9,0.1812744140625,0.1153564453125,0.02197265625,31.24,74,28,173,8,11,7
7,1772699638147,1772699638147,0,1,0.1015625,-0.09326171875,-1.0595703125,-26.123046875,-0.42724609375,14.2822265625,3,2,2,0.1702880859375,0.0439453125,0.076904296875,31.43,68,34,122,8,10,6
8,1772699638866,1772699638866,0,1,0.26416015625,-0.06396484375,-0.79296875,15.380859375,-5.37109375,-2.86865234375,2,2,8,0.1373291015625,0.0054931640625,0.0164794921875,31.62,55,18,171,8,10,6
9,1772699639016,1772699639016,0,1,0.244140625,-0.05224609375,-0.81201171875,-3.72314453125,15.380859375,2.25830078125,5,2,9,0.02197265625,0.0933837890625,0.032958984375,31.37,46,24,118,8,10,6
10,1772699642023,1772699642022,1,1,0.36474609375,-0.091796875,-1.05517578125,4.57763671875,-17.27294921875,-2.74658203125,3,2,12,0.032958984375,0.0494384765625,0.054931640625,31.37,32,7,150,7,8,5
11,1772699643643,1772699643642,1,1,0.40478515625,-0.1162109375,-1.01025390625,0.3662109375,-19.22607421875,1.64794921875,6,3,11,0.02197265625,0.0933837890625,0.0714111328125,31.11,31,61,121,11,9,4
12,1772699644162,1772699644162,0,1,0.4521484375,-0.109375,-0.98583984375,5.859375,-12.51220703125,-1.8310546875,6,10,10,0.0054931640625,0.0494384765625,0.087890625,31.37,49,129,133,11,10,8
13,1772699649579,1772699649578,1,1,0.2724609375,-0.08984375,-0.9345703125,-6.591796875,7.9345703125,13.671875,0,1,0,0.0,0.032958984375,0.0274658203125,31.43,2,20,8,7,9,6
14,1772699649629,1772699649629,0,1,0.31494140625,-0.115234375,-0.8642578125,-9.33837890625,14.95361328125,4.0283203125,1,0,3,0.0274658203125,0.06591796875,0.0274658203125,31.49,8,10,17,7,9,6
15,1772699652851,1772699652846,5,1,0.13671875,-0.16796875,-0.9521484375,-2.9296875,8.7890625,4.82177734375,8,1,4,0.054931640625,0.15380859375,0.076904296875,31.56,153,23,69,6,11,6
16,1772699653424,1772699653423,1,1,0.60205078125,-0.30126953125,-0.81640625,-4.150390625,20.6298828125,16.11328125,25,10,3,0.032958984375,0.1373291015625,0.17578125,31.49,199,95,70,6,7,7
17,1772699654484,1772699654484,0,1,-0.09521484375,-0.18408203125,-0.99755859375,-0.9765625,22.216796875,5.92041015625,18,4,3,0.054931640625,0.2581787109375,0.208740234375,31.24,250,18,61,6,8,6
18,1772699660620,1772699660620,0,1,0.19970703125,0.00244140625,-0.95751953125,20.08056640625,-55.908203125,-56.82373046875,8,6,3,0.098876953125,0.4229736328125,0.2581787109375,31.37,104,83,43,5,5,5
