file,score,level,triggered,quality_factor,n,fs_hz,mode,gate,confirm
vibration_20260302_175421.csv,30.6,normal,False,0.85,16,0.543,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_100819.csv,9.69,normal,False,0.319,3,0.404,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_101536.csv,9.0,normal,False,0.2,1,0.0,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_101624.csv,28.87,normal,False,1.0,9,0.702,swing_slack,running,suppressed_single_window
vibration_30s_20260303_101650.csv,38.75,watch,False,1.0,10,0.337,damped_slack,running,suppressed_single_window
vibration_30s_20260303_101725.csv,42.95,watch,False,1.0,11,0.436,swing_slack,running,suppressed_single_window
vibration_30s_20260303_101836.csv,45.39,watch,False,1.0,16,0.525,damped_slack,running,suppressed_single_window
vibration_30s_20260303_101912.csv,36.0,watch,False,1.0,10,0.695,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_103656.csv,9.0,normal,False,0.2,1,0.0,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_103711.csv,38.95,watch,False,1.0,14,0.455,damped_slack,running,suppressed_single_window
vibration_30s_20260303_103751.csv,86.83,alarm,True,1.0,9,0.705,swing_slack,running,swing_single_window_pass
vibration_30s_20260303_103816.csv,59.0,watch,False,1.0,11,0.335,damped_slack,running,suppressed_single_window
vibration_30s_20260303_103912.csv,59.0,watch,False,1.0,16,0.68,swing_slack,running,suppressed_single_window
vibration_30s_20260303_104016.csv,53.55,watch,False,1.0,12,0.398,swing_slack,running,suppressed_single_window
vibration_30s_20260303_104100.csv,57.32,watch,False,1.0,9,0.312,damped_slack,running,suppressed_single_window
vibration_30s_20260303_104530.csv,59.0,watch,False,1.0,13,0.427,damped_slack,running,suppressed_single_window
vibration_30s_20260303_104608.csv,59.0,watch,False,1.0,13,0.408,damped_slack,running,suppressed_single_window
vibration_30s_20260303_104650.csv,12.54,normal,False,0.212,2,0.218,damped_slack,weak_running_suppressed,suppressed_single_window
vibration_30s_20260303_104718.csv,42.28,watch,False,1.0,11,0.378,swing_slack,running,suppressed_single_window
vibration_30s_20260303_104806.csv,15.28,normal,False,0.425,4,1.102,swing_slack,running,suppressed_single_window
vibration_30s_20260303_105427.csv,59.0,watch,False,1.0,17,0.55,damped_slack,running,suppressed_single_window
vibration_30s_20260303_105505.csv,9.0,normal,False,0.2,1,0.0,damped_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_105518.csv,59.0,watch,False,1.0,11,0.793,damped_slack,running,suppressed_single_window
vibration_30s_20260303_105553.csv,57.08,watch,False,1.0,9,0.295,damped_slack,running,suppressed_single_window
vibration_30s_20260303_105641.csv,42.17,watch,False,1.0,9,0.532,swing_slack,running,suppressed_single_window
vibration_30s_20260303_105710.csv,36.21,watch,False,1.0,14,0.445,swing_slack,running,suppressed_single_window
vibration_30s_20260303_110154.csv,59.0,watch,False,1.0,10,0.336,damped_slack,running,suppressed_single_window
vibration_30s_20260303_110250.csv,59.0,watch,False,1.0,14,0.438,swing_slack,running,suppressed_single_window
vibration_30s_20260303_110322.csv,8.61,normal,False,0.425,4,0.951,swing_slack,non_running_suppressed,suppressed_single_window
vibration_30s_20260303_110344.csv,59.0,watch,False,1.0,15,0.498,damped_slack,running,suppressed_single_window
vibration_30s_20260303_110424.csv,33.54,normal,False,0.744,7,0.913,damped_slack,running,suppressed_single_window
vibration_30s_20260303_110451.csv,35.07,watch,False,1.0,18,0.578,damped_slack,running,suppressed_single_window
vibration_30s_20260303_110543.csv,41.66,watch,False,1.0,17,0.575,swing_slack,running,suppressed_single_window
vibration_30s_20260303_110622.csv,36.73,watch,False,1.0,21,0.712,swing_slack,running,suppressed_single_window
vibration_diag_20260302_175836.csv,22.26,normal,False,0.85,8,0.983,damped_slack,non_running_suppressed,suppressed_single_window
vibration_raw_20260302_180752.csv,39.69,watch,False,1.0,12,0.38,damped_slack,non_running_suppressed,suppressed_single_window
